Category,Transporter,Address,Phone,Email,MSME Status,IBA Code,IBA Validity
Hydraulic,Align Global Logistics Pvt Ltd,,,,Small,HYA-1972,31.01.2027
Hydraulic,ODC Logistics Pvt Ltd,,,,Small,CAO-937,31.05.2028
Hydraulic,PRC Logistics Pvt Ltd,,,,Medium,HYP-1032,31.10.2026
Hydraulic,Parvat Road Carriers,,,,Small,BHP-1410,31.05.2027
Hydraulic,Procam Logistics Pvt. Ltd.,,,,Small,MUP-1840,28.02.2027
Hydraulic,RR Roadways Pvt Ltd,,,,Small,MUR-1621,31.08.2028
Hydraulic,RRC Global Roadways Pvt Ltd,,,,Small,BFR-2533,30.09.2027
Hydraulic,Sayaan Ventures Pvt Ltd,,,,Small,MUS-2406,28.02.2026
Mechanical,Associated Road Carriers Ltd.,,,,NON-MSE,CAA-237,31-03-2027
Mechanical,Awagaman Road Carriers Limited,"1202A-1203, D Mall, Netaji Subhash Paigah Plaza, Room No. 302A, 3rd Floor, Basherbagh, Place, Pitampura, Delhi-110034 Hyderabad – 500063","040-23202651, 09319664872, 8630039196, 8887906442, 9319035627, 9319080774, 9389318302, 9837585126","anandpal@arclimited.com, awghyd@gmail.com, awghyd@rediffmail.com, brl_hwr@rediffmail.com, brl_hyd@rediffmail.com, d.a.sharma1974@gmail.com, dlh@arclimited.com, haridwar@darcl.com, hdwr@arclimited.com, hyderabad@awagaman.com, jitender@arclimited.com, marketing.hsr@cjdarcl.com, rajesh.gairola@m.darcl.com, vinodbrl1988@gmail.com, yatender@arclimited.com",MSE (Medium),CAA-951,31-05-2028
Mechanical,Bharatiya Roadlines Pvt. Ltd.,501 - 1000 kms M6 3.26 2. AWG 2. M/s Awagaman Road Carriers Limited 30.00% A3 3. (7MT to 15MT) 1001 - 1500 kms M7 3.35 3. SPL 3. M/s Saket Road Carriers Pvt. Ltd. 20.00% 4. NKT 4. M/s New Kumar Transport Corporation 10.00% Above 1501 kms M8 2.40 Up to 500 kms M9 6.84 1. AWG D 501 - 1000 kms M10 7.60 1. M/s Awagaman Road Carriers Ltd. 66.67% 4. (URGENT) Mini Truck Load up 1001 - 1500 kms M11 7.24 2. SST 33.33% to 5 MT 2. M/s Shailsuta Logistics Pvt. Ltd. Above 1501 kms M12 6.97 Page 4 of 68 Tender No. BHEL/HWR/CDX/ENQ/2526-002 Dt: 01/08/2025 VALIDITY: 23/12/2025 to 22/06/2027 Approved Transporter Sl No. Category Distance Slabs Group Rates Approved Transporter %Distribution Code (Rs./KM/MT) Up to 500 kms M13 4.10 1. SPL 1. M/s Saket Road Carriers Pvt. Ltd. 33.33 % C1 501 - 1000 kms M14 4.10 2. CJD 2. M/s,,,MSE (Small),HYB-1289,31-05-2028
