origin,destination,distance_km,state,route_description,updated_on,approval_no
AGRA,ADHUNIK,1014,,JAMSHEDPUR,2014-03-31,
AGRA,ALIGARH,65,Up,,2014-03-31,
AGRA,BHATINDA,531,Punjab,,2014-03-31,
AGRA,ETAWAH,118,Up,,2014-03-31,A08
AGRA,FARIDABAD,171,Haryana,,2014-03-31,
AGRA,GHAZIABAD,195,Up,,2014-03-31,
AGRA,GURGAON,193,Haryana,,2014-03-31,A-15
AGRA,GWALIOR,119,,,2014-03-31,
AGRA,HARDUAGANJ,79,Up,,2014-03-31,
AGRA,INDORE,606,,,2014-03-31,A024
AGRA,JAIPUR,235,Up,,2014-03-31,
AGRA,JHANSI,220,,,2014-03-31,
AGRA,MATHURA,56,,,2014-03-31,A024
AGRA,MEERUT,214,Up,,2014-03-31,
AGRA,RANCHI,1435,Jharkhand,,2014-03-31,
AGRA,REWA,533,Mp,,2014-03-31,A-15
AGRA,SAGAR,418,,,2014-03-31,A07
AGRA,TUTICORIN,2471,Tamilnaidu,,2014-03-31,
AHMAD NAGAR,PARAS,333,,,2014-03-31,
AHMADABAD,AMARKANTAK,1079,,,2014-03-31,A022
AHMADABAD,ANGUL,1663,Orrisa,,2014-03-31,A-02
AHMADABAD,AURANGABAD,557,Maharashtr,,2014-03-31,
AHMADABAD,BAKRESHWAR,1796,,Ahamadabd-Jabalpr-Rewa-Naini-B,2014-03-31,A022
AHMADABAD,BANHARPALLI,1423,Orrissa,VADODARA INDORE NAGPUR BHILAI RAIGARH BANAHARPALLI,2018-05-30,
AHMADABAD,BHACHAU,324,,,2014-03-31,
AHMADABAD,BHATINDA,1003,,,2014-03-31,
AHMADABAD,BHAVNAGAR,191,Gujarat,,2014-03-31,A08
AHMADABAD,BHILAI,1053,,Ahamadabd-Indore-Ngp-Bhilai,2014-03-31,A022
AHMADABAD,BIKANER,676,Raj,,2014-03-31,
AHMADABAD,BIRSINGHPUR,1033,,,2014-03-31,
AHMADABAD,CHANDERPUR,970,,,2014-03-31,A026
AHMADABAD,CHHATRAL,36,,,2014-03-31,
AHMADABAD,DHULE,448,,,2014-03-31,
AHMADABAD,DURGAPUR,1754,,MEJIA,2014-03-31,
AHMADABAD,GADARWARA,737,Mp,GODHRA INDORE BHOPAL GADARWARA,2018-05-30,
AHMADABAD,GANDHIDHAM,355,,,2014-03-31,A022
AHMADABAD,GANDHINAGAR,13,Gujarat,,2014-03-31,
AHMADABAD,INDORE,365,,,2014-03-31,
AHMADABAD,JABALPUR,793,,,2014-03-31,A022
AHMADABAD,JODHPUR,433,Rajasthan,,2014-03-31,A-09
AHMADABAD,KAHALGAON,1732,,,2014-03-31,
AHMADABAD,KANDLA,369,,,2014-03-31,
AHMADABAD,KARIMNAGAR,1061,,,2014-03-31,
AHMADABAD,KORBA,1103,,,2014-03-31,A022
AHMADABAD,KOTA,521,Rajasthan,,2014-03-31,A-09
AHMADABAD,KOTHAGUDEM,1423,Telangana,VADODARA NASHIK OSMANABAD SURYAPED KHAMMAN KOTHAGUDEM,2018-05-30,
AHMADABAD,MEJIA,1785,,,2014-03-31,A21
AHMADABAD,NAGPUR,819,,,2014-03-31,A022
AHMADABAD,PANIPAT,1000,Haryana,,2014-03-31,
AHMADABAD,PARAS,696,,,2014-03-31,
AHMADABAD,PARLI,801,,,2014-03-31,
AHMADABAD,PUNE,693,,,2014-03-31,A024
AHMADABAD,RAICHUR,1294,,PUNE-SHOLAPUR-RAICHUR,2014-03-31,A024
AHMADABAD,RAIGARH,1339,,,2014-03-31,A21
AHMADABAD,RAMAGUNDAM,1226,,,2014-03-31,
AHMADABAD,RAYALSEEMA,1518,,,2014-03-31,A21
AHMADABAD,SAMBALPUR,1503,Orrisa,,2014-03-31,A07
AHMADABAD,SANTALDIH,1733,,,2014-03-31,A21
AHMADABAD,SIMHADRI,1805,,,2014-03-31,
AHMADABAD,SIPAT,1142,,Ahamadabd-Jabalpr-Sipat,2014-03-31,A022
AHMADABAD,SOLAPUR,925,,,2014-03-31,A024
AHMADABAD,SURATGARH,854,Rajasthan,,2014-03-31,A-09
AHMADABAD,UNCHAHAR,1110,,,2014-03-31,
AHMADABAD,VADODARA,113,,,2014-03-31,A024
AHMADABAD,VINDHYANAGAR,1300,,,2014-03-31,
AHMADABAD,WAPI,369,,,2014-03-31,A-09
AHMADNAGAR,AURANGABAD,102,,,2014-03-31,A07
AHMADNAGAR,BARAMATI,152,,,2014-03-31,A07
AHMADNAGAR,BELLARY,622,,,2014-03-31,A027
AHMADNAGAR,BIRSINGHPUR,1146,,"A.NAGAR,MALEGAON,BRNPR",2014-03-31,
AHMADNAGAR,GANDHINAGAR,626,,"NASIK,CHIKHLI,",2014-03-31,
AHMADNAGAR,GOOTY,697,,,2014-03-31,A027
AHMADNAGAR,MALEGAON,167,,,2014-03-31,
AHMADNAGAR,PARLI,247,,,2014-03-31,
AHMADNAGAR,PUNE,118,,,2014-03-31,
AHMADNAGAR,RAICHUR,599,,"SHOLAPUR,BIJAPUR,LNGSR",2014-03-31,
AHMADNAGAR,RAYALSEEMA,904,,DAUND-SHOLAPUR-HOSPET-CUDDAPCH,2014-03-31,A027
AHMADNAGAR,SOLAPUR,225,,DAUND,2014-03-31,A027
AHMADNAGAR,SURATGARH,1361,,,2014-03-31,
AHMADNAGAR,VINDHYA NAGAR,1294,,,2014-03-31,
AHMADNAGAR,WANAKBORI,658,,,2014-03-31,
AHMEDABAD,BUDGE-BUDGE,1992,Wb,KOLKATA,2014-03-31,
AJMER,BIKANER,233,Rajasthan,,2014-03-31,
AJMER,JAIPUR,131,,MODIFIED page 87,2014-03-31,A028
AJMER,KOTA,624,,,2014-03-31,
AJMER,RATLAM,377,,,2014-03-31,A07
AJMER,UDAIPUR,236,,,2014-03-31,
AKOLA,PARAS,29,,,2014-03-31,A020
ALIGARH,KANPUR,292,Up,,2014-03-31,A07
ALLAHABAD,BARHI,400,,VARANSI,2014-03-31,A026
ALLAHABAD,BELLARY,1427,,NAINI-JBALPUR-NAGPUR-HYD.,2014-03-31,A026
ALLAHABAD,BIRSINGHPUR,327,,,2014-03-31,A026
ALLAHABAD,ETAWAH,311,Up,,2014-03-31,A07
ALLAHABAD,HYDERABAD,1061,,NAINI-JBALUR-NAGPUR-,2014-03-31,A026
ALLAHABAD,IB VALLEY,732,,,2014-03-31,
ALLAHABAD,KAHALGAON,734,,,2014-03-31,A026
ALLAHABAD,KANPUR,193,Up,,2014-03-31,
ALLAHABAD,KORBA,661,,REWA-JABALPUR-,2014-03-31,A026
